                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.56142,                0.89762,                0.39165,                0.81502,                0.85531,                0.76873,                0.78731,                0.65337,                0.87384,                 0.7898,                0.80898,                0.53109,                0.53321,                0.86257,                0.38087,                0.80509,             0.00055261,             0.00055261,             0.00055261
                     37,                0.57325,                0.92128,                0.39396,                0.81314,                0.83963,                 0.7747,                0.78928,                 0.6531,                0.85122,                0.78068,                0.79675,                0.54122,                0.51642,                0.79031,                0.37077,                0.80792,             0.00054437,             0.00054437,             0.00054437
                     38,                0.58081,                 0.9344,                0.38797,                0.81711,                0.83306,                0.77365,                0.79182,                0.65942,                0.83683,                0.78634,                0.79888,                0.53113,                0.50473,                0.84775,                0.36509,                0.80601,             0.00053612,             0.00053612,             0.00053612
                     39,                0.57775,                0.89765,                0.39302,                0.81527,                0.84445,                 0.7679,                0.78355,                0.64955,                0.85995,                0.78586,                 0.8051,                0.52089,                0.52306,                0.82094,                0.37371,                0.80864,             0.00052787,             0.00052787,             0.00052787
                     40,                0.57667,                0.91582,                0.38681,                0.81352,                0.85012,                0.78377,                0.78881,                0.64456,                0.81661,                0.78036,                0.78663,                0.51471,                0.52209,                0.80877,                0.36835,                0.80512,             0.00051963,             0.00051963,             0.00051963
                     41,                0.57144,                0.90853,                0.38462,                0.80825,                0.83223,                0.78875,                0.79934,                0.65622,                0.83537,                0.78627,                 0.7815,                0.51639,                0.51774,                0.80915,                0.37099,                0.80715,             0.00051138,             0.00051138,             0.00051138
                     42,                0.55516,                0.87259,                0.37596,                0.81022,                0.84217,                 0.7747,                0.79509,                0.66475,                0.83055,                0.74499,                0.76553,                 0.5075,                0.50364,                 0.8325,                0.36328,                0.80734,             0.00050313,             0.00050313,             0.00050313
                     43,                0.54496,                0.87758,                0.37547,                0.81068,                0.85316,                0.78423,                0.79111,                0.66293,                0.81456,                0.75653,                0.76802,                0.51908,                0.50209,                0.80562,                0.35555,                0.80555,             0.00049489,             0.00049489,             0.00049489
                     44,                0.55899,                 0.8701,                0.37943,                0.81144,                0.84836,                0.79269,                0.79613,                0.66463,                0.79364,                0.77193,                0.77694,                0.49372,                 0.5036,                0.75468,                0.35363,                0.80311,             0.00048664,             0.00048664,             0.00048664
                     45,                0.53371,                0.82794,                0.36671,                0.80819,                0.82412,                0.79456,                0.79686,                0.67635,                0.78239,                0.78323,                0.77961,                0.51739,                0.47335,                0.77853,                0.34892,                0.79997,             0.00047839,             0.00047839,             0.00047839
                     46,                0.54597,                 0.8616,                0.37006,                0.81036,                0.85103,                0.79376,                0.80409,                0.68534,                0.82925,                 0.7836,                0.80582,                0.55701,                0.46072,                0.72847,                0.33986,                0.79888,             0.00047015,             0.00047015,             0.00047015
                     47,                0.54826,                0.84989,                0.36783,                0.81047,                0.82929,                0.79867,                0.80197,                0.68048,                0.81055,                0.78567,                0.79344,                0.52493,                0.45983,                0.74006,                0.33742,                0.79998,              0.0004619,              0.0004619,              0.0004619
                     48,                0.53844,                0.84583,                0.36632,                0.81102,                 0.8212,                0.80359,                0.79822,                0.67831,                0.79082,                0.79423,                0.78078,                0.54052,                0.46313,                0.72394,                0.33996,                0.79913,             0.00045365,             0.00045365,             0.00045365
                     49,                0.53823,                0.85278,                0.36348,                0.80797,                0.89562,                0.78411,                0.80752,                0.67374,                 0.8002,                0.79394,                0.79245,                0.53116,                 0.4641,                 0.7265,                0.33482,                0.79929,             0.00044541,             0.00044541,             0.00044541
                     50,                0.52674,                0.84418,                0.35923,                0.80839,                0.85382,                0.78606,                0.80258,                0.67493,                0.79592,                0.78594,                0.78031,                0.52518,                0.48021,                0.74488,                0.34263,                0.80144,             0.00043716,             0.00043716,             0.00043716
                     51,                0.52369,                0.84462,                0.35759,                0.80981,                 0.8314,                0.79242,                0.79641,                0.66873,                0.79113,                0.76345,                0.76253,                0.52359,                0.46259,                0.75436,                0.33696,                0.79902,             0.00042891,             0.00042891,             0.00042891
                     52,                0.52023,                0.82716,                0.35494,                0.80755,                0.81639,                0.78713,                0.79281,                0.67352,                0.80258,                0.75631,                0.76383,                0.50358,                0.45299,                0.76206,                0.33737,                0.79863,             0.00042066,             0.00042066,             0.00042066
                     53,                0.52277,                 0.8288,                0.35999,                0.80863,                0.83579,                0.79194,                0.79737,                0.67398,                0.80102,                0.78109,                0.78044,                0.54135,                0.46074,                0.74765,                0.33412,                0.79762,             0.00041242,             0.00041242,             0.00041242
                     54,                0.50896,                0.82342,                0.35362,                0.80708,                0.81814,                0.77597,                0.78734,                0.67703,                0.81565,                 0.7642,                0.78012,                0.52898,                0.45761,                0.77007,                0.33608,                0.79683,             0.00040417,             0.00040417,             0.00040417
                     55,                0.51185,                0.81416,                  0.355,                0.80383,                0.86882,                0.77953,                0.80233,                0.67497,                0.80875,                0.77309,                0.78781,                0.54993,                0.43986,                0.76836,                0.32602,                 0.7963,             0.00039592,             0.00039592,             0.00039592
                     56,                0.51368,                0.81566,                0.35741,                 0.8089,                0.82887,                0.77798,                0.79333,                0.67034,                0.79966,                0.79439,                0.80613,                0.55602,                 0.4738,                0.70827,                0.33856,                0.79955,             0.00038768,             0.00038768,             0.00038768
                     57,                0.49887,                0.80818,                0.34813,                0.80254,                0.85878,                0.79115,                0.80539,                0.68336,                  0.859,                0.80202,                0.82231,                  0.565,                0.45441,                0.69329,                0.33626,                0.79671,             0.00037943,             0.00037943,             0.00037943
                     58,                 0.4956,                0.77369,                0.34372,                0.80507,                 0.8657,                0.78538,                0.81153,                0.68218,                0.83796,                0.77981,                0.80257,                0.55688,                0.45945,                0.76135,                0.33617,                0.79638,             0.00037118,             0.00037118,             0.00037118
                     59,                0.51083,                 0.8071,                 0.3509,                0.80309,                0.86901,                0.81279,                0.81943,                0.68303,                 0.8738,                 0.7853,                0.81423,                0.51026,                0.44608,                0.74844,                0.33238,                0.79673,             0.00036294,             0.00036294,             0.00036294
