,Data,Hour,Minute,Seconds,Microseconds,Time Norm,Track_ID,Object Class,X,Y,Temp,Humidity,Rain,Showers,Snowfall,Cloud  Cover
81,20240118,0,1,27,459060,0.00101225763888889,14,1,1699.66674804688,484.943420410156,-3.5,85,0,0,0,100
82,20240118,0,1,27,459060,0.00101225763888889,15,2,3604.13671875,1289.55615234375,-3.5,85,0,0,0,100
83,20240118,0,1,27,459060,0.00101225763888889,16,2,3478.38134765625,1235.77978515625,-3.5,85,0,0,0,100
84,20240118,0,1,27,459060,0.00101225763888889,17,1,2247.3857421875,682.995971679688,-3.5,85,0,0,0,100
85,20240118,0,1,27,644299,0.0010144016087963,1,0,2003.52221679687,415.712829589844,-3.5,85,0,0,0,100
86,20240118,0,1,27,644299,0.0010144016087963,2,0,671.384155273438,466.220916748047,-3.5,85,0,0,0,100
87,20240118,0,1,27,644299,0.0010144016087963,3,3,3055.3896484375,1076.7958984375,-3.5,85,0,0,0,100
88,20240118,0,1,27,644299,0.0010144016087963,4,3,3093.41259765625,1131.669921875,-3.5,85,0,0,0,100
89,20240118,0,1,27,644299,0.0010144016087963,5,2,3269.87841796875,1115.40551757813,-3.5,85,0,0,0,100
90,20240118,0,1,27,644299,0.0010144016087963,6,0,1152.474609375,326.48291015625,-3.5,85,0,0,0,100
91,20240118,0,1,27,644299,0.0010144016087963,7,1,3576.0927734375,1215.81201171875,-3.5,85,0,0,0,100
92,20240118,0,1,27,644299,0.0010144016087963,8,0,771.29931640625,681.132385253906,-3.5,85,0,0,0,100
93,20240118,0,1,27,644299,0.0010144016087963,9,0,1923.33520507813,352.288177490234,-3.5,85,0,0,0,100
94,20240118,0,1,27,644299,0.0010144016087963,10,2,3381.62646484375,1307.82934570313,-3.5,85,0,0,0,100
95,20240118,0,1,27,644299,0.0010144016087963,11,0,1927.70581054688,264.967651367188,-3.5,85,0,0,0,100
96,20240118,0,1,27,644299,0.0010144016087963,12,4,1923.73315429687,535.456237792969,-3.5,85,0,0,0,100
97,20240118,0,1,27,644299,0.0010144016087963,13,2,3500.27075195312,1301.37744140625,-3.5,85,0,0,0,100
98,20240118,0,1,27,644299,0.0010144016087963,14,1,1699.5283203125,484.925323486328,-3.5,85,0,0,0,100
99,20240118,0,1,27,644299,0.0010144016087963,15,2,3604.087890625,1289.53881835938,-3.5,85,0,0,0,100
100,20240118,0,1,27,644299,0.0010144016087963,16,2,3478.3525390625,1235.7685546875,-3.5,85,0,0,0,100
101,20240118,0,1,27,644299,0.0010144016087963,17,1,2247.2529296875,683.8564453125,-3.5,85,0,0,0,100
102,20240118,0,1,27,848873,0.00101676936342593,1,0,2003.48400878906,415.813873291016,-3.5,85,0,0,0,100
103,20240118,0,1,27,848873,0.00101676936342593,2,0,671.300537109375,466.118621826172,-3.5,85,0,0,0,100
104,20240118,0,1,27,848873,0.00101676936342593,3,3,3055.37451171875,1076.80590820313,-3.5,85,0,0,0,100
105,20240118,0,1,27,848873,0.00101676936342593,4,3,3093.41064453125,1131.66735839844,-3.5,85,0,0,0,100
106,20240118,0,1,27,848873,0.00101676936342593,5,2,3269.90234375,1115.41381835938,-3.5,85,0,0,0,100
107,20240118,0,1,27,848873,0.00101676936342593,6,0,1152.52453613281,326.492858886719,-3.5,85,0,0,0,100
108,20240118,0,1,27,848873,0.00101676936342593,7,1,3576.08837890625,1215.830078125,-3.5,85,0,0,0,100
109,20240118,0,1,27,848873,0.00101676936342593,8,0,769.767700195313,681.794067382813,-3.5,85,0,0,0,100
